"Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Date","Result","How out","Fielder","Bowler"
"8","6","5","2","0","160","3","caught","1","v England","Cuttack","19-Jan-17","W","caught","BA Stokes","CR Woakes"
"81","108","68","6","3","119.11","3","not out","1","v Pakistan","Birmingham","4-Jun-17","W","not out","",""
"76","136","101","7","1","75.24","3","not out","2","v South Africa","The Oval","11-Jun-17","W","not out","",""
"96","96","78","13","0","123.07","3","not out","2","v Bangladesh","Birmingham","15-Jun-17","W","not out","",""
"87","-","66","4","4","131.81","3","caught","1","v West Indies","Port of Spain","25-Jun-17","W","caught","AR Nurse","AS Joseph"
"11","-","22","2","0","50","3","caught","1","v West Indies","North Sound","30-Jun-17","W","caught","KA Hope","JO Holder"
"111","-","115","12","2","96.52","3","not out","2","v West Indies","Kingston","6-Jul-17","W","not out","",""
"82","-","70","10","1","117.14","3","not out","2","v Sri Lanka","Dambulla","20-Aug-17","W","not out","",""
"4","-","2","1","0","200","5","bowled","2","v Sri Lanka","Pallekele","24-Aug-17","W","bowled","","A Dananjaya"
"3","-","11","0","0","27.27","3","caught","2","v Sri Lanka","Pallekele","27-Aug-17","W","caught","PVD Chameera","MVT Fernando"
"131","-","96","17","2","136.45","3","caught","1","v Sri Lanka","Colombo (RPS)","31-Aug-17","W","caught","EMDY Munaweera","SL Malinga"
"110","-","116","9","0","94.82","3","not out","2","v Sri Lanka","Colombo (RPS)","3-Sep-17","W","not out","",""
"0","7","4","0","0","0","3","caught","1","v Australia","Chennai","17-Sep-17","W","caught","GJ Maxwell","NM Coulter-Nile"
"92","148","107","8","0","85.98","3","bowled","1","v Australia","Kolkata","21-Sep-17","W","bowled","","NM Coulter-Nile"
"28","58","35","2","0","80","3","caught","2","v Australia","Indore","24-Sep-17","W","caught","AJ Finch","AC Agar"
"39","73","55","2","0","70.9","3","caught","2","v Australia","Nagpur","1-Oct-17","W","caught","MP Stoinis","A Zampa"
"29","40","29","3","1","100","3","caught","2","v New Zealand","Pune","25-Oct-17","W","caught","TWM Latham","C de Grandhomme"
"113","166","106","9","1","106.6","3","caught","1","v New Zealand","Kanpur","29-Oct-17","W","caught","KS Williamson","TG Southee"
"112","164","119","10","0","94.11","3","caught","2","v South Africa","Durban","1-Feb-18","W","caught","K Rabada","AL Phehlukwayo"
"46","64","50","4","1","92","3","not out","2","v South Africa","Centurion","4-Feb-18","W","not out","",""
"160","220","159","12","2","100.62","3","not out","1","v South Africa","Cape Town","7-Feb-18","W","not out","",""
"36","76","54","2","0","66.66","3","run out","1","v South Africa","Port Elizabeth","13-Feb-18","W","run out","",""
"129","123","96","19","2","134.37","3","not out","2","v South Africa","Centurion","16-Feb-18","W","not out","",""
